,trial,block,fix_start,fix_stop,target_start,target_stop
107,108.0,1.0,9549.0,9581.0,9579.0,9613.0
108,109.0,1.0,9629.0,9660.0,9658.0,9691.0
109,110.0,1.0,9708.0,9739.0,9737.0,9773.0
110,111.0,1.0,9790.0,9821.0,9819.0,9849.0
111,112.0,1.0,9866.0,9897.0,9895.0,9927.0
112,113.0,1.0,9943.0,9974.0,9973.0,10011.0
113,114.0,1.0,10027.0,10058.0,10057.0,10095.0
114,115.0,1.0,10112.0,10142.0,10141.0,10182.0
115,116.0,1.0,10198.0,10229.0,10228.0,10264.0
116,117.0,1.0,10280.0,10311.0,10310.0,10351.0
117,118.0,1.0,10367.0,10398.0,10396.0,10447.0
118,119.0,1.0,10462.0,10494.0,10492.0,10522.0
119,120.0,1.0,10538.0,10569.0,10567.0,10595.0
120,121.0,1.0,10611.0,10642.0,10641.0,10677.0
121,122.0,1.0,10693.0,10725.0,10722.0,10769.0
122,123.0,1.0,10785.0,10815.0,10814.0,10857.0
123,124.0,1.0,10873.0,10905.0,10904.0,10958.0
124,125.0,1.0,10975.0,11006.0,11004.0,11036.0
125,126.0,1.0,11052.0,11084.0,11082.0,11118.0
126,127.0,1.0,11134.0,11166.0,11164.0,11212.0
127,128.0,1.0,11228.0,11259.0,11258.0,11286.0
128,129.0,1.0,11302.0,11333.0,11331.0,11361.0
129,130.0,1.0,11377.0,11409.0,11408.0,11434.0
130,131.0,1.0,11451.0,11482.0,11480.0,11509.0
131,132.0,1.0,11526.0,11557.0,11555.0,11596.0
132,133.0,1.0,11613.0,11645.0,11641.0,11691.0
133,134.0,1.0,11707.0,11738.0,11736.0,11773.0
134,135.0,1.0,11790.0,11821.0,11819.0,11844.0
135,136.0,1.0,11861.0,11891.0,11890.0,11929.0
136,137.0,1.0,11946.0,11977.0,11974.0,12004.0
137,138.0,1.0,12020.0,12050.0,12049.0,12086.0
138,139.0,1.0,12104.0,12135.0,12131.0,12183.0
139,140.0,1.0,12199.0,12230.0,12228.0,12289.0
140,141.0,1.0,12305.0,12335.0,12333.0,12380.0
141,142.0,1.0,12398.0,12428.0,12427.0,12465.0
142,143.0,1.0,12481.0,12512.0,12511.0,12564.0
143,144.0,1.0,12581.0,12610.0,12609.0,12659.0
