display,left_image,right_image,left_image_90,right_image_90,target_duration,target_duration_90,ANSWER,meta_left_number,meta_right_number,meta_ratio,meta_ratio_group,n,break_key_resp.keys_raw,roi_centre.numLooks_mean,roi_centre.numLooks_raw,roi_centre.numLooks_std,roi_centre.timesOff_raw,roi_centre.timesOn_raw,roi_left.numLooks_mean,roi_left.numLooks_raw,roi_left.numLooks_std,roi_left.timesOff_raw,roi_left.timesOn_raw,roi_left_number.numLooks_mean,roi_left_number.numLooks_raw,roi_left_number.numLooks_std,roi_left_number.timesOff_raw,roi_left_number.timesOn_raw,roi_right.numLooks_mean,roi_right.numLooks_raw,roi_right.numLooks_std,roi_right.timesOff_raw,roi_right.timesOn_raw,roi_right_number.numLooks_mean,roi_right_number.numLooks_raw,roi_right_number.numLooks_std,roi_right_number.timesOff_raw,roi_right_number.timesOn_raw,roi_screen.numLooks_mean,roi_screen.numLooks_raw,roi_screen.numLooks_std,roi_screen.timesOff_raw,roi_screen.timesOn_raw,trial_key_resp.corr_mean,trial_key_resp.corr_raw,trial_key_resp.corr_std,trial_key_resp.keys_raw,trial_key_resp.rt_mean,trial_key_resp.rt_raw,trial_key_resp.rt_std,order
trial,001.png,005.png,001.png,005.png,0,3,right,1,5,0.2,low,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'right',0.8728337287902832,0.8728337287902832,0.0,55.0
trial,001.png,006.png,001.png,006.png,0,3,right,1,6,0.16666666666666666,low,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'right',1.0860389471054077,1.0860389471054077,0.0,35.0
trial,001.png,007.png,001.png,007.png,0,3,right,1,7,0.14285714285714285,low,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'right',0.9040769934654236,0.9040769934654236,0.0,58.0
trial,008.png,001.png,008.png,001.png,0,3,left,8,1,0.125,low,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'left',0.7938563227653503,0.7938563227653503,0.0,62.0
trial,001.png,009.png,001.png,009.png,0,3,right,1,9,0.1111111111111111,low,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'right',0.9583883285522461,0.9583883285522461,0.0,38.0
trial,005.png,002.png,005.png,002.png,0,3,left,5,2,0.4,medium,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'left',1.2935560941696167,1.2935560941696167,0.0,11.0
trial,009.png,002.png,009.png,002.png,0,3,left,9,2,0.2222222222222222,low,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'left',0.9384657144546509,0.9384657144546509,0.0,46.0
trial,003.png,006.png,003.png,006.png,0,3,right,3,6,0.5,medium,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'right',1.3393983840942383,1.3393983840942383,0.0,21.0
trial,007.png,003.png,007.png,003.png,0,3,left,7,3,0.42857142857142855,medium,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'left',1.5591365098953247,1.5591365098953247,0.0,8.0
trial,005.png,004.png,005.png,004.png,0,3,left,5,4,0.8,high,1.0,,0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',0.0,0.0,0.0,'','',1.0,1.0,0.0,'left',1.19158935546875,1.19158935546875,0.0,65.0
