display,left_image,right_image,left_image_90,right_image_90,target_duration,target_duration_90,ANSWER,meta_left_number,meta_right_number,meta_ratio,meta_ratio_group,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,inst_text.started,inst_keyresp.started,text_2.started,inst_keyresp.keys,inst_keyresp.rt,blank_1000_text.started,etRecord.started,etRecord.stopped,blank_1000_text.stopped,fixation.started,roi_left.started,roi_right.started,roi_centre.started,roi_screen.started,roi_left_number.started,roi_right_number.started,target_left.started,target_right.started,target_left_90.started,target_left_90.stopped,target_right_90.started,target_right_90.stopped,trial_key_resp.started,fixation.stopped,trial_key_resp.keys,trial_key_resp.corr,trial_key_resp.rt,roi_left.numLooks,roi_left.timesOn,roi_left.timesOff,roi_right.numLooks,roi_right.timesOn,roi_right.timesOff,roi_centre.numLooks,roi_centre.timesOn,roi_centre.timesOff,roi_screen.numLooks,roi_screen.timesOn,roi_screen.timesOff,roi_left_number.numLooks,roi_left_number.timesOn,roi_left_number.timesOff,roi_right_number.numLooks,roi_right_number.timesOn,roi_right_number.timesOff,break_key_resp.keys,blank_500_text.started,blank_500_text.stopped,text_4.started,break_key_resp.started,break_key_resp.rt,inst_text_2.started,inst_keyresp_2.started,text_3.started,inst_keyresp_2.keys,inst_keyresp_2.rt,target_left.stopped,target_right.stopped,text.started,etRecord_end.started,etRecord_end.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
trial,008.png,001.png,008.png,001.png,3,0,left,8,1,0.125,low,0,9,9,39,,,,,,,,,,,,,,225.22830360010266,225.22830360010266,225.22830360010266,225.22830360010266,225.22830360010266,225.22830360010266,225.22830360010266,226.1950308000669,226.1950308000669,226.1950308000669,226.1950308000669,226.1950308000669,226.1950308000669,226.1950308000669,226.26171270012856,left,1,1.1569892999250442,1,[1.7503973001148552],[2.1845911000855267],0,,,1,[1.447141099954024],[1.7201556998770684],2,"[0.007152599981054664, 1.4475847000721842]","[1.2886983000207692, 1.7206234999466687]",1,[1.7842230000533164],[2.186735099880025],1,[1.4801475000567734],[1.6892117999959737],None,227.44511219998822,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,009.png,005.png,009.png,005.png,3,0,left,9,5,0.5555555555555556,medium,0,10,10,31,,,,,,,,,,,,,,227.96194049995393,227.96194049995393,227.96194049995393,227.96194049995393,227.96194049995393,227.96194049995393,227.96194049995393,228.94529810012318,228.94529810012318,228.94529810012318,228.94529810012318,228.94529810012318,228.94529810012318,228.94529810012318,228.97843010001816,left,1,0.8776265999767929,1,[1.293618799885735],[1.4329572999849916],1,[1.72255830001086],[1.7557004000991583],1,[1.4718054998666048],[1.756639099912718],4,"[0.5943185000214726, 0.859039600007236, 0.9219704000279307, 1.4724917002022266]","[0.7739144000224769, 0.8899795000907034, 1.2637503000441939, 1.723491400014609]",2,"[1.328736700117588, 1.8157336001750082]","[1.4355041000526398, 1.905649600084871]",1,[1.4981386000290513],[1.7243286999873817],None,229.89527610014193,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,006.png,007.png,006.png,007.png,3,0,right,6,7,0.8571428571428571,high,0,11,11,50,,,,,,,,,,,,,,230.46202159998938,230.46202159998938,230.46202159998938,230.46202159998938,230.46202159998938,230.46202159998938,230.46202159998938,231.36181359994225,231.36181359994225,231.36181359994225,231.36181359994225,231.36181359994225,231.36181359994225,231.36181359994225,231.49522010004148,right,1,1.517372300149873,1,[1.7144454999361187],[2.120767500018701],1,[1.4436474000103772],[1.651542899897322],2,"[1.3850938000250608, 2.157206099946052]","[1.6832685999106616, 2.484333199914545]",2,"[0.6758152998518199, 2.1577692998107523]","[1.444323199801147, 2.4846449999604374]",1,[1.7156758999917656],[2.12370099988766],2,"[1.4175378999207169, 2.193382400088012]","[1.652906100032851, 2.485666000051424]",None,232.96241040015593,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,007.png,008.png,007.png,008.png,3,0,right,7,8,0.875,high,0,12,12,69,,,,,,,,,,,,,,233.49556010006927,233.49556010006927,233.49556010006927,233.49556010006927,233.49556010006927,233.49556010006927,233.49556010006927,234.47886790009215,234.47886790009215,234.47886790009215,234.47886790009215,234.47886790009215,234.47886790009215,234.47886790009215,234.51217840006575,right,1,1.1846274000126868,1,[1.365698000183329],[1.7338184001855552],3,"[1.7970922000240535, 1.8624166001100093, 1.9567683001514524]","[1.8292640999425203, 1.9258566000498831, 2.158799200085923]",1,[1.7343878999818116],[2.2158567998558283],13,"[0.007123200222849846, 0.26416550017893314, 0.42307010013610125, 0.5507068000733852, 0.6617444001603872, 0.8544515001121908, 0.9183071001898497, 1.1265968000516295, 1.734635700006038, 1.8301344001665711, 1.9266438002232462, 1.9908241000957787, 2.1610658999998122]","[0.0547021001111716, 0.38996040006168187, 0.5187217001803219, 0.5825682000722736, 0.8221206001471728, 0.8858309001661837, 0.9986716001294553, 1.3179869002196938, 1.7977407001890242, 1.8631163001991808, 1.9574896001722664, 2.0225674000103027, 2.2161501001100987]",1,[1.3670410001650453],[1.7349171000532806],1,[1.7668479001149535],[2.189085700083524],None,235.71243389998563,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,009.png,008.png,009.png,008.png,3,0,left,9,8,0.8888888888888888,high,0,13,13,71,,,,,,,,,,,,,,236.2623110001441,236.2623110001441,236.2623110001441,236.2623110001441,236.2623110001441,236.2623110001441,236.2623110001441,237.21243950002827,237.21243950002827,237.21243950002827,237.21243950002827,237.21243950002827,237.21243950002827,237.21243950002827,237.27915129996836,left,1,0.883750099921599,1,[1.3406010000035167],[1.9164104999508709],0,,,0,,,5,"[0.007341699907556176, 0.7304710999596864, 1.0355791999027133, 1.1808930998668075, 1.2434503000695258]","[0.20254789991304278, 0.7782353998627514, 1.069546999875456, 1.200656200060621, 1.273886099923402]",1,[1.5175977000035346],[1.9182899000588804],0,,,None,238.17936810012907,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,003.png,006.png,003.png,006.png,3,0,right,3,6,0.5,medium,0,14,14,7,,,,,,,,,,,,,,238.71276900009252,238.71276900009252,238.71276900009252,238.71276900009252,238.71276900009252,238.71276900009252,238.71276900009252,239.67957279994152,239.67957279994152,239.67957279994152,239.67957279994152,239.67957279994152,239.67957279994152,239.67957279994152,239.74642480001785,right,1,0.8956728000193834,0,,,1,[1.3887911001220345],[1.8983613001182675],1,[1.3575292001478374],[1.899039100157097],2,"[0.2538113999180496, 1.3578605998773128]","[1.3243199000135064, 1.3894791998900473]",0,,,1,[1.3901511000003666],[1.9009836001787335],None,240.62976650008932,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,009.png,001.png,009.png,001.png,3,0,left,9,1,0.1111111111111111,low,0,15,15,22,,,,,,,,,,,,,,241.21294350014068,241.21294350014068,241.21294350014068,241.21294350014068,241.21294350014068,241.21294350014068,241.21294350014068,242.14635020005517,242.14635020005517,242.14635020005517,242.14635020005517,242.14635020005517,242.14635020005517,242.14635020005517,242.2463583999779,left,1,0.9975997998844832,1,[1.5444734001066536],[1.9893080000765622],0,,,0,,,5,"[0.18823929992504418, 0.342535600066185, 0.5525342999026179, 1.2902345000766218, 1.384876900119707]","[0.3112413000781089, 0.471226500114426, 0.5836283001117408, 1.353187199914828, 1.5142129000741988]",1,[1.577405899995938],[1.9908606000244617],0,,,None,243.2134056999348,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,005.png,009.png,005.png,009.png,3,0,right,5,9,0.5555555555555556,medium,0,16,16,13,,,,,,,,,,,,,,243.73010689998046,243.73010689998046,243.73010689998046,243.73010689998046,243.73010689998046,243.73010689998046,243.73010689998046,244.69664770015515,244.69664770015515,244.69664770015515,244.69664770015515,244.69664770015515,244.69664770015515,244.69664770015515,244.72995920013636,right,1,0.9909605998545885,1,[1.326464100042358],[1.518829100066796],1,[1.5829333998262882],[2.0346674998290837],1,[1.5510281000752002],[2.0352752001490444],6,"[0.32299120002426207, 0.481285999994725, 0.9333768000360578, 1.0592259000986814, 1.2472773999907076, 1.519649500027299]","[0.41742920014075935, 0.8839084999635816, 0.9659480999689549, 1.1840278999879956, 1.295882800128311, 1.5513685999903828]",1,[1.3276730000507087],[1.496847900096327],1,[1.5841505001299083],[2.0368127000983804],None,245.78004939993843,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,007.png,003.png,007.png,003.png,3,0,left,7,3,0.42857142857142855,medium,0,17,17,8,,,,,,,,,,,,,,246.3303388999775,246.3303388999775,246.3303388999775,246.3303388999775,246.3303388999775,246.3303388999775,246.3303388999775,247.28020839998499,247.28020839998499,247.28020839998499,247.28020839998499,247.28020839998499,247.28020839998499,247.28020839998499,247.34708230011165,left,1,1.4068030999042094,4,"[1.5475988001562655, 1.7515097002033144, 2.0898838001303375, 2.281900400063023]","[1.579120600130409, 1.787346800090745, 2.122513300040737, 2.426826700102538]",0,,,1,[1.788403799990192],[2.059766300022602],7,"[0.011797500075772405, 0.22396200010553002, 0.31801820010878146, 0.4151103999465704, 0.5592223000712693, 0.6475140999536961, 1.7904793000780046]","[0.07826390000991523, 0.2845819001086056, 0.3507252000272274, 0.4771473000291735, 0.6182920001447201, 1.5166927999816835, 2.0915049000177532]",2,"[1.5812979999464005, 2.124504700070247]","[1.7529909000732005, 2.428942000027746]",1,[1.8227154999040067],[2.061300199944526],None,248.8137779000681,249.38054280006327,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,004.png,007.png,004.png,007.png,3,0,right,4,7,0.5714285714285714,medium,0,18,18,10,,,,,,,,,,,,,,249.38054280006327,249.38054280006327,249.38054280006327,249.38054280006327,249.38054280006327,249.38054280006327,249.38054280006327,250.34706840012223,250.34706840012223,250.34706840012223,250.34706840012223,250.34706840012223,250.34706840012223,250.34706840012223,250.41394540015608,right,1,1.1245498999487609,1,[1.402425000211224],[1.740957000060007],1,[1.7717714000027627],[2.1396568999625742],1,[1.7723169999662787],[2.140186900040135],1,[0.010257699992507696],[0.4452925999648869],1,[1.4495538000483066],[1.7436397999990731],1,[1.822977599920705],[2.141766400076449],None,251.5475397000555,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
